outcome,month,mmwr_week,age_group,vaccine_product,one_boosted_with_outcome,one_booster_population,two_boosted_with_outcome,two_booster_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_one_booster_ir,crude_two_booster_ir,crude_vax_ir,crude_unvax_ir,crude_irr,crude_one_booster_irr,crude_two_booster_irr,crude_one_two_booster_irr,age_adj_one_booster_ir,age_adj_two_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_one_booster_irr,age_adj_two_booster_irr,age_adj_vax_irr,age_adj_one_two_booster_irr,continuity_correction
case,MAR 2022,202213,50-64,all_types,9456,16833128,89,175807,4272,14915165,5178,6258819.05,56.17494265,50.6236953,28.64198955,82.73126222,2.888460737,1.472743154,1.63423989,1.109657095,,,,,,,,,1
case,MAR 2022,202213,65+,all_types,8497,19712573,138,325768,2787,10201163,3829,2925296.85,43.10446942,42.36143513,27.32041435,130.892699,4.791021736,3.036638677,3.089902374,1.017540347,,,,,,,,,1
case,MAR 2022,202213,all_ages,Janssen,807,1996405,6,26780,680,2500857,9007,9184115.9,40.42265973,22.40477969,27.19067904,98.07149755,3.606805752,2.426151525,4.377257841,1.804198046,39.25860671,18.52947472,27.80301769,104.7570983,2.668385535,5.653538476,3.767831946,2.118711259,1
case,MAR 2022,202213,all_ages,Moderna,7407,16427853,100,221352,2684,10398464,9007,9184115.9,45.08805868,45.17691279,25.81150447,98.07149755,3.79952659,2.175110227,2.170832213,0.998033196,47.00008354,49.91298568,25.80632925,104.7570983,2.22887047,2.098794469,4.059356806,0.941640395,1
case,MAR 2022,202213,all_ages,Pfizer,9722,18082006,120,247654,3688,12193852,9007,9184115.9,53.76615847,48.45469889,30.24474957,98.07149755,3.242595788,1.824037654,2.023983221,1.109617017,54.46117156,48.41864101,30.18399416,104.7570983,1.923519,2.163569569,3.470617498,1.124797607,1
case,MAR 2022,202213,all_ages,all_types,17953,36545701,227,501575,7059,25116328,9007,9184115.9,49.12479309,45.25743907,28.10522303,98.07149755,3.489440289,1.996374771,2.166969665,1.085452339,50.19737803,46.84508735,28.037589,104.7570983,2.086903786,2.236245126,3.736309077,1.0715612,1
case,APR 2022,202214,50-64,all_types,13092,16905600,149,187504,5591,14848807,6545,6235676.05,77.44179444,79.46497141,37.65285656,104.960552,2.787585367,1.355347622,1.320840492,0.974540015,,,,,,,,,1
case,APR 2022,202214,65+,all_types,12120,19738429,284,358355,3356,10152777,4619,2901265.85,61.40306303,79.25102203,33.05499569,159.2063685,4.81640869,2.592808251,2.00888726,0.774792065,,,,,,,,,1
case,APR 2022,202214,all_ages,Janssen,978,2005589,5,28043,812,2492399,11164,9136941.9,48.76372976,17.82976144,32.57905335,122.1853014,3.750425161,2.505659473,6.852884815,2.734962547,47.75682459,18.28411199,33.30000041,129.7689784,2.717286577,7.097362918,3.89696627,2.611930217,1
case,APR 2022,202214,all_ages,Moderna,10264,16468469,184,240209,3460,10349128,11164,9136941.9,62.3251621,76.59996087,33.43276844,122.1853014,3.654657006,1.960448995,1.595109188,0.81364483,64.56480199,76.51536241,33.42379887,129.7689784,2.009902832,1.695985934,3.882532291,0.843814888,1
